Rider Name,Height(m),Weight(kg),Hometown,Team,UCI Ranking Points,UCI Ranking Position,Age,Nationality
Greg Van Avermaet,1.81,74,Lokeren,AG2R Citroën Team,476,115,37,BE
Oliver Naesen,1.84,74,Oostende,AG2R Citroën Team,339,190,32,BE
Benoît Cosnefroy,1.79,65,Cherbourg-en-Cotentin,AG2R Citroën Team,949,38,27,FR
Ben O'Connor,1.88,67,Subiaco,AG2R Citroën Team,958,36,27,AU
Marc Sarreau,1.82,76,Vierzon,AG2R Citroën Team,336,192,29,FR
Andrea Vendrame,1.68,60,Conegliano,AG2R Citroën Team,433,136,28,IT
Mikaël Cherel,1.86,65,Saint-Hilaire-du-Harcouët,AG2R Citroën Team,99,490,36,FR
Michael Schär,1.98,78,Geuensee,AG2R Citroën Team,60,670,36,CH
Clément Venturini,1.65,60,Villeurbanne,AG2R Citroën Team,273,233,29,FR
Aurélien Paret-Peintre,1.84,64,Annemasse,AG2R Citroën Team,253,250,27,FR
Dorian Godon,1.9,73,Vitry-sur-Seine,AG2R Citroën Team,244,258,26,FR
Franck Bonnamour,1.8,70,Lannion,AG2R Citroën Team,201,289,27,FR
Geoffrey Bouchard,1.78,63,Dijon,AG2R Citroën Team,294,218,30,FR
Larry Warbasse,1.83,67,Traverse City,AG2R Citroën Team,25,1074,32,US
Nans Peters,1.77,71,Grenoble,AG2R Citroën Team,215,276,28,FR
Stan Dewulf,1.76,74,Stavele,AG2R Citroën Team,162,346,25,BE
Damien Touzé,1.74,69,Iville,AG2R Citroën Team,108,451,26,FR
Lawrence Naesen,1.9,72,Berlare,AG2R Citroën Team,44,809,30,BE
Felix Gall,1.78,66,Nußdorf-Debant,AG2R Citroën Team,283,228,25,AT
Jaakko Hänninen,1.77,60,Ruokolahti,AG2R Citroën Team,88,545,25,FI
Clément Berthet,1.84,68,Pierre Bénite,AG2R Citroën Team,182,318,25,FR
Nicolas Prodhomme,1.74,62,L'Aigle,AG2R Citroën Team,54,721,26,FR
